Sample in Buffer,Sample in Window,TRIGGER,u0/spi_inst0/SCK,u0/spi_inst0/CSn,u0/spi_inst0/MOSI,u0/spi_inst0/MISO,u0/spi_inst0/spi_seq[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
310,310,0,0,0,1,0,"IDLE"
311,311,0,0,0,1,0,"IDLE"
312,312,0,0,0,1,0,"IDLE"
313,313,0,0,0,1,0,"IDLE"
314,314,0,0,0,1,0,"IDLE"
315,315,0,0,0,1,0,"IDLE"
316,316,0,0,0,1,0,"IDLE"
317,317,0,0,0,1,0,"IDLE"
318,318,0,0,0,1,0,"IDLE"
319,319,0,0,0,1,0,"IDLE"
320,320,0,0,0,1,0,"IDLE"
321,321,0,0,0,1,0,"IDLE"
322,322,0,0,0,1,0,"IDLE"
323,323,0,0,0,1,0,"IDLE"
324,324,0,0,0,1,0,"IDLE"
325,325,0,0,0,1,0,"IDLE"
326,326,0,0,0,1,0,"IDLE"
327,327,0,0,0,1,0,"IDLE"
328,328,0,0,0,1,0,"IDLE"
329,329,0,0,0,1,0,"IDLE"
330,330,0,0,0,1,0,"IDLE"
331,331,0,0,0,1,0,"IDLE"
332,332,0,0,0,1,0,"IDLE"
333,333,0,0,0,1,0,"IDLE"
334,334,0,0,0,1,0,"IDLE"
335,335,0,0,0,1,0,"IDLE"
336,336,0,0,0,1,0,"IDLE"
337,337,0,0,0,1,0,"IDLE"
338,338,0,0,0,1,0,"IDLE"
339,339,0,0,0,1,0,"IDLE"
340,340,0,0,0,1,0,"IDLE"
341,341,0,0,0,1,0,"IDLE"
342,342,0,0,0,1,0,"IDLE"
343,343,0,0,0,1,0,"IDLE"
344,344,0,0,0,1,0,"IDLE"
345,345,0,0,0,1,0,"IDLE"
346,346,0,0,0,1,0,"IDLE"
347,347,0,0,0,1,0,"IDLE"
348,348,0,0,0,1,0,"IDLE"
349,349,0,0,0,1,0,"IDLE"
350,350,0,0,0,1,0,"IDLE"
351,351,0,0,0,1,0,"IDLE"
352,352,0,0,0,1,0,"IDLE"
353,353,0,0,0,1,0,"IDLE"
354,354,0,0,0,1,0,"IDLE"
355,355,0,0,0,1,0,"IDLE"
356,356,0,0,0,1,0,"IDLE"
357,357,0,0,0,1,0,"IDLE"
358,358,0,0,0,1,0,"IDLE"
359,359,0,0,0,1,0,"IDLE"
360,360,0,0,0,1,0,"IDLE"
361,361,0,0,0,1,0,"IDLE"
362,362,0,0,0,1,0,"IDLE"
363,363,0,0,0,1,0,"IDLE"
364,364,0,0,0,1,0,"IDLE"
365,365,0,0,0,1,0,"IDLE"
366,366,0,0,0,1,0,"IDLE"
367,367,0,0,0,1,0,"IDLE"
368,368,0,0,0,1,0,"IDLE"
369,369,0,0,0,1,0,"IDLE"
370,370,0,0,0,1,0,"IDLE"
371,371,0,0,0,1,0,"IDLE"
372,372,0,0,0,1,0,"IDLE"
373,373,0,0,0,1,0,"IDLE"
374,374,0,0,0,1,0,"IDLE"
375,375,0,0,0,1,0,"IDLE"
376,376,0,0,0,1,0,"IDLE"
377,377,0,0,0,1,0,"IDLE"
378,378,0,0,0,1,0,"IDLE"
379,379,0,0,0,1,0,"IDLE"
380,380,0,0,0,1,0,"IDLE"
381,381,0,0,0,1,0,"IDLE"
382,382,0,0,0,1,0,"IDLE"
383,383,0,0,0,1,0,"IDLE"
384,384,0,0,0,1,0,"IDLE"
385,385,0,0,0,1,0,"IDLE"
386,386,0,0,0,1,0,"IDLE"
387,387,0,0,0,1,0,"IDLE"
388,388,0,0,0,1,0,"IDLE"
389,389,0,0,0,1,0,"IDLE"
390,390,0,0,0,1,0,"IDLE"
391,391,0,0,0,1,0,"IDLE"
392,392,0,0,0,1,0,"IDLE"
393,393,0,0,0,1,0,"IDLE"
394,394,0,0,0,1,0,"IDLE"
395,395,0,0,0,1,0,"IDLE"
396,396,0,0,0,1,0,"IDLE"
397,397,0,0,0,1,0,"IDLE"
398,398,0,0,0,1,0,"IDLE"
399,399,0,0,0,1,0,"IDLE"
400,400,0,0,0,1,0,"IDLE"
401,401,0,0,0,1,0,"IDLE"
402,402,0,0,0,1,0,"IDLE"
403,403,0,0,0,1,0,"IDLE"
404,404,0,0,0,1,0,"IDLE"
405,405,0,0,0,1,0,"IDLE"
406,406,0,0,0,1,0,"IDLE"
407,407,0,0,0,1,0,"IDLE"
408,408,0,0,0,1,0,"IDLE"
409,409,0,0,0,1,0,"IDLE"
410,410,0,0,0,1,0,"IDLE"
411,411,0,0,0,1,0,"IDLE"
412,412,0,0,0,1,0,"IDLE"
413,413,0,0,0,1,0,"IDLE"
