Sample in Buffer,Sample in Window,TRIGGER,u0/wb_dbus_adr[31:0],u0/wb_dbus_cyc,u0/wb_dbus_dat[31:0],u0/wb_dbus_we,u0/wb_dbus_rdt[31:0],u0/o_probuf_0[31:0],u0/o_probuf_1[31:0],u0/o_probuf_2[31:0],u0/o_exe_req,u0/o_autoexec[2:0],u0/o_autoexec_wr,u0/wb_dbus_ack
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
109,109,0,40000000,0,00000037,1,00000063,88002483,0004a483,00100073,0,0,0,0
110,110,0,40000000,0,00000036,1,00000063,88002483,0004a483,00100073,0,0,0,0
111,111,0,40000000,0,00000035,1,00000063,88002483,0004a483,00100073,0,0,0,0
112,112,0,40000000,0,00000034,1,00000063,88002483,0004a483,00100073,0,0,0,0
113,113,0,40000000,0,00000033,1,00000063,88002483,0004a483,00100073,0,0,0,0
114,114,0,40000000,0,00000032,1,00000063,88002483,0004a483,00100073,0,0,0,0
115,115,0,40000000,0,00000031,1,00000063,88002483,0004a483,00100073,0,0,0,0
116,116,0,40000000,0,00000030,1,00000063,88002483,0004a483,00100073,0,0,0,0
117,117,0,40000000,0,0000002f,1,00000063,88002483,0004a483,00100073,0,0,0,0
118,118,0,40000000,0,0000002e,1,00000063,88002483,0004a483,00100073,0,0,0,0
119,119,0,40000000,0,0000002d,1,00000063,88002483,0004a483,00100073,0,0,0,0
120,120,0,40000000,0,0000002c,1,00000063,88002483,0004a483,00100073,0,0,0,0
121,121,0,40000000,0,0000002b,1,00000063,88002483,0004a483,00100073,0,0,0,0
122,122,0,40000000,0,0000002a,1,00000063,88002483,0004a483,00100073,0,0,0,0
123,123,0,40000000,0,00000029,1,00000063,88002483,0004a483,00100073,0,0,0,0
124,124,0,40000000,0,00000028,1,00000063,88002483,0004a483,00100073,0,0,0,0
125,125,0,40000000,0,00000027,1,00000063,88002483,0004a483,00100073,0,0,0,0
126,126,0,40000000,0,00000026,1,00000063,88002483,0004a483,00100073,0,0,0,0
127,127,0,40000000,0,00000025,1,00000063,88002483,0004a483,00100073,0,0,0,0
128,128,0,40000000,0,00000024,1,00000063,88002483,0004a483,00100073,0,0,0,0
129,129,0,40000000,0,00000023,1,00000063,88002483,0004a483,00100073,0,0,0,0
130,130,0,40000000,0,00000022,1,00000063,88002483,0004a483,00100073,0,0,0,0
131,131,0,40000000,0,00000021,1,00000063,88002483,0004a483,00100073,0,0,0,0
132,132,0,40000000,0,00000020,1,00000063,88002483,0004a483,00100073,0,0,0,0
